DTXSID;PREFERRED NAME;CASRN;INCHIKEY;IUPAC NAME;SMILES;INCHI STRING;MOLECULAR FORMULA;AVERAGE MASS;MONOISOTOPIC MASS;QC Level;# ToxCast Active;Total Assays;% ToxCast Active;Origin;Similarity to TPP [tanimoto]
DTXSID70233262;Phosphoric acid, bis(4-methylphenyl) ester;843-24-3;PLUDEAUQZKPAIN-UHFFFAOYSA-N;Bis(4-methylphenyl) hydrogen phosphate;CC1=CC=C(OP(O)(=O)OC2=CC=C(C)C=C2)C=C1;"InChI=1S/C14H15O4P/c1-11-3-7-13(8-4-11)17-19(15,16)18-14-9-5-12(2)6-10-14/h3-10H,1-2H3,(H,15,16)
";C14H15O4P;278.244;278.070796;4; ;;;Comptox similarity search to TPP;0.864864886
DTXSID70274039;Diphenyl 4-tolyl phosphate;78-31-9;OJUZRFGUKHQNJX-UHFFFAOYSA-N;4-Methylphenyl diphenyl phosphate;CC1=CC=C(OP(=O)(OC2=CC=CC=C2)OC2=CC=CC=C2)C=C1;"InChI=1S/C19H17O4P/c1-16-12-14-19(15-13-16)23-24(20,21-17-8-4-2-5-9-17)22-18-10-6-3-7-11-18/h2-15H,1H3
";C19H17O4P;340.315;340.086446;1; ;;;Comptox similarity search to TPP;0.864864886
DTXSID10188464;Phenyl di(p-tolyl) phosphate;34909-69-8;NVMHZSCMWYZDCC-UHFFFAOYSA-N;Bis(4-methylphenyl) phenyl phosphate;CC1=CC=C(OP(=O)(OC2=CC=CC=C2)OC2=CC=C(C)C=C2)C=C1;"InChI=1S/C20H19O4P/c1-16-8-12-19(13-9-16)23-25(21,22-18-6-4-3-5-7-18)24-20-14-10-17(2)11-15-20/h3-15H,1-2H3
";C20H19O4P;354.342;354.102096;; ;;;Comptox similarity search to TPP;0.864864886
DTXSID5052676;Tris(4-methylphenyl) phosphate;78-32-0;BOSMZFBHAYFUBJ-UHFFFAOYSA-N;Tris(4-methylphenyl) phosphate;CC1=CC=C(OP(=O)(OC2=CC=C(C)C=C2)OC2=CC=C(C)C=C2)C=C1;"InChI=1S/C21H21O4P/c1-16-4-10-19(11-5-16)23-26(22,24-20-12-6-17(2)7-13-20)25-21-14-8-18(3)9-15-21/h4-15H,1-3H3
";C21H21O4P;368.369;368.117746;1; ;;;Comptox similarity search to TPP;0.864864886
DTXSID10335577;Dimethyl 3-methylphenyl phosphate;6161-79-1;BQGIVCKQWCUOME-UHFFFAOYSA-N;Dimethyl 3-methylphenyl phosphate;COP(=O)(OC)OC1=CC=CC(C)=C1;"InChI=1S/C9H13O4P/c1-8-5-4-6-9(7-8)13-14(10,11-2)12-3/h4-7H,1-3H3
";C9H13O4P;216.173;216.055146;5; ;;;Comptox similarity search to TPP;0.842105269
DTXSID20959223;Phenyl dipropyl phosphate;38299-59-1;VUTSVIHQBJIUOS-UHFFFAOYSA-N;Phenyl dipropyl phosphate;CCCOP(=O)(OCCC)OC1=CC=CC=C1;"InChI=1S/C12H19O4P/c1-3-10-14-17(13,15-11-4-2)16-12-8-6-5-7-9-12/h5-9H,3-4,10-11H2,1-2H3
";C12H19O4P;258.254;258.102096;5; ;;;Comptox similarity search to TPP;0.842105269
DTXSID20660908;amino diphenyl phosphate;88088-31-7;UINZSQJVKLWNOU-UHFFFAOYSA-N;;NOP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1;"InChI=1S/C12H12NO4P/c13-17-18(14,15-11-7-3-1-4-8-11)16-12-9-5-2-6-10-12/h1-10H,13H2
";C12H12NO4P;265.205;265.050395;5; ;;;Comptox similarity search to TPP;0.842105269
DTXSID50957752;Bis(3-methylphenyl) hydrogen phosphate;36400-46-1;JIHHEDIKJNYFHY-UHFFFAOYSA-N;Bis(3-methylphenyl) hydrogen phosphate;CC1=CC(OP(O)(=O)OC2=CC=CC(C)=C2)=CC=C1;"InChI=1S/C14H15O4P/c1-11-5-3-7-13(9-11)17-19(15,16)18-14-8-4-6-12(2)10-14/h3-10H,1-2H3,(H,15,16)
";C14H15O4P;278.244;278.070796;5; ;;;Comptox similarity search to TPP;0.842105269
DTXSID40744133;Methyl bis(3-methylphenyl) phosphate;62750-94-1;FUXHPPIVOXVGBB-UHFFFAOYSA-N;Methyl bis(3-methylphenyl) phosphate;COP(=O)(OC1=CC=CC(C)=C1)OC1=CC=CC(C)=C1;"InChI=1S/C15H17O4P/c1-12-6-4-8-14(10-12)18-20(16,17-3)19-15-9-5-7-13(2)11-15/h4-11H,1-3H3
";C15H17O4P;292.271;292.086446;5; ;;;Comptox similarity search to TPP;0.842105269
DTXSID90219740;Phosphoric acid, 3-methylphenyl diphenyl ester;69500-28-3;FJKVRVFGUXMMAO-UHFFFAOYSA-N;3-Methylphenyl diphenyl phosphate;CC1=CC(OP(=O)(OC2=CC=CC=C2)OC2=CC=CC=C2)=CC=C1;"InChI=1S/C19H17O4P/c1-16-9-8-14-19(15-16)23-24(20,21-17-10-4-2-5-11-17)22-18-12-6-3-7-13-18/h2-15H,1H3
";C19H17O4P;340.315;340.086446;4; ;;;Comptox similarity search to TPP;0.842105269
DTXSID00865292;Bis(3-methylphenyl) phenyl phosphate;34909-68-7;MFYUCMJLFKGADB-UHFFFAOYSA-N;Bis(3-methylphenyl) phenyl phosphate;CC1=CC(OP(=O)(OC2=CC=CC=C2)OC2=CC=CC(C)=C2)=CC=C1;"InChI=1S/C20H19O4P/c1-16-8-6-12-19(14-16)23-25(21,22-18-10-4-3-5-11-18)24-20-13-7-9-17(2)15-20/h3-15H,1-2H3
";C20H19O4P;354.342;354.102096;1; ;;;Comptox similarity search to TPP;0.842105269
DTXSID401337648;3-Methylphenyl 4-methylphenyl phenyl phosphate;222165-66-4;HKNKWANCSNZBQG-UHFFFAOYNA-N;;CC1=CC=C(OP(=O)(OC2=CC=CC=C2)OC2=CC=CC(C)=C2)C=C1;"InChI=1/C20H19O4P/c1-16-11-13-19(14-12-16)23-25(21,22-18-8-4-3-5-9-18)24-20-10-6-7-17(2)15-20/h3-15H,1-2H3
";C20H19O4P;354.342;354.102096;1; ;;;Comptox similarity search to TPP;0.842105269
DTXSID10274134;Tris(3,5-xylenyl)phosphate;25653-16-1;LLPMAOBOEQFPRE-UHFFFAOYSA-N;Tris(3,5-dimethylphenyl) phosphate;CC1=CC(OP(=O)(OC2=CC(C)=CC(C)=C2)OC2=CC(C)=CC(C)=C2)=CC(C)=C1;"InChI=1S/C24H27O4P/c1-16-7-17(2)11-22(10-16)26-29(25,27-23-12-18(3)8-19(4)13-23)28-24-14-20(5)9-21(6)15-24/h7-15H,1-6H3
";C24H27O4P;410.45;410.164696;; ;;;Comptox similarity search to TPP;0.842105269
DTXSID70536306;Bis[(naphthalen-1-yl)oxy](oxo)phosphanium;13869-18-6;KTCAGHOZOIVOQM-UHFFFAOYSA-N;Bis[(naphthalen-1-yl)oxy](oxo)phosphanium;O=[P+](OC1=CC=CC2=CC=CC=C12)OC1=CC=CC2=CC=CC=C12;"InChI=1S/C20H14O3P/c21-24(22-19-13-5-9-15-7-1-3-11-17(15)19)23-20-14-6-10-16-8-2-4-12-18(16)20/h1-14H/q+1
";C20H14O3P;333.302;333.067508;5; ;;;Comptox similarity search to TPP;0.828571439
DTXSID90963559;Phenyl propan-2-yl hydrogen phosphate;46355-07-1;WRXFONORSZHETC-UHFFFAOYSA-N;Phenyl propan-2-yl hydrogen phosphate;CC(C)OP(O)(=O)OC1=CC=CC=C1;"InChI=1/C9H13O4P/c1-8(2)12-14(10,11)13-9-6-4-3-5-7-9/h3-8H,1-2H3,(H,10,11)
";C9H13O4P;216.173;216.055146;5; ;;;Comptox similarity search to TPP;0.820512831
