DTXSID;PREFERRED NAME;CASRN;INCHIKEY;IUPAC NAME;SMILES;INCHI STRING;MOLECULAR FORMULA;AVERAGE MASS;MONOISOTOPIC MASS;QC Level;# ToxCast Active;Total Assays;% ToxCast Active;Origin;Similarity to TPP [tanimoto]
DTXSID10582943;4-Hydroxybutyl diphenyl phosphate;132649-26-4;AJXKKVKPCKGZNA-UHFFFAOYSA-N;4-Hydroxybutyl diphenyl phosphate;OCCCCOP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1;"InChI=1S/C16H19O5P/c17-13-7-8-14-19-22(18,20-15-9-3-1-4-10-15)21-16-11-5-2-6-12-16/h1-6,9-12,17H,7-8,13-14H2
";C16H19O5P;322.297;322.097011;5; ;;;Comptox similarity search to TPP;0.800000012
DTXSID701259334;Phosphoric acid, 9-anthracenyl diethyl ester;16303-26-7;ZVURWFWWPBSXEQ-UHFFFAOYSA-N;Anthracen-9-yl diethyl phosphate;CCOP(=O)(OCC)OC1=C2C=CC=CC2=CC2=CC=CC=C12;"InChI=1S/C18H19O4P/c1-3-20-23(19,21-4-2)22-18-16-11-7-5-9-14(16)13-15-10-6-8-12-17(15)18/h5-13H,3-4H2,1-2H3
";C18H19O4P;330.32;330.102096;; ;;;Comptox similarity search to TPP;0.800000012
DTXSID80422564;ethoxy-oxo-phenoxyphosphanium;20442-56-2;YTPYEMDHQWLUKG-UHFFFAOYSA-N;Ethoxy(oxo)phenoxyphosphanium;CCO[P+](=O)OC1=CC=CC=C1;"InChI=1/C8H10O3P/c1-2-10-12(9)11-8-6-4-3-5-7-8/h3-7H,2H2,1H3/q+1
";C8H10O3P;185.138;185.036208;5; ;;;Comptox similarity search to TPP;0.783783793
DTXSID00567163;Bis(4-methylphenoxy)(oxo)phosphanium;13869-19-7;NKTMXKKCADFXKO-UHFFFAOYSA-N;Bis(4-methylphenoxy)(oxo)phosphanium;CC1=CC=C(O[P+](=O)OC2=CC=C(C)C=C2)C=C1;"InChI=1S/C14H14O3P/c1-11-3-7-13(8-4-11)16-18(15)17-14-9-5-12(2)6-10-14/h3-10H,1-2H3/q+1
";C14H14O3P;261.236;261.067508;5; ;;;Comptox similarity search to TPP;0.783783793
DTXSID00964113;Ethyl 4-methylphenyl hydrogen phosphate;4877-08-1;RPQOGZDVCXECEE-UHFFFAOYSA-N;Ethyl 4-methylphenyl hydrogen phosphate;CCOP(O)(=O)OC1=CC=C(C)C=C1;"InChI=1/C9H13O4P/c1-3-12-14(10,11)13-9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3,(H,10,11)
";C9H13O4P;216.173;216.055146;5; ;;;Comptox similarity search to TPP;0.780487776
DTXSID00867852;Phosphoric acid, monopentyl monophenyl ester;69867-71-6;CUSOQKDDRMHSPY-UHFFFAOYSA-N;Pentyl phenyl hydrogen phosphate;CCCCCOP(O)(=O)OC1=CC=CC=C1;"InChI=1/C11H17O4P/c1-2-3-7-10-14-16(12,13)15-11-8-5-4-6-9-11/h4-6,8-9H,2-3,7,10H2,1H3,(H,12,13)
";C11H17O4P;244.227;244.086446;1; ;;;Comptox similarity search to TPP;0.780487776
DTXSID60508810;Diethyl 3-methoxyphenyl phosphate;13538-32-4;WWGGRDOJOLSSRP-UHFFFAOYSA-N;Diethyl 3-methoxyphenyl phosphate;CCOP(=O)(OCC)OC1=CC=CC(OC)=C1;"InChI=1S/C11H17O5P/c1-4-14-17(12,15-5-2)16-11-8-6-7-10(9-11)13-3/h6-9H,4-5H2,1-3H3
";C11H17O5P;260.226;260.081361;5; ;;;Comptox similarity search to TPP;0.780487776
DTXSID40620261;Bis(2-methylphenyl) phosphate;27378-80-9;OHRCKPRYDGSBRN-UHFFFAOYSA-M;Bis(2-methylphenyl) phosphate;CC1=CC=CC=C1OP([O-])(=O)OC1=CC=CC=C1C;"InChI=1S/C14H15O4P/c1-11-7-3-5-9-13(11)17-19(15,16)18-14-10-6-4-8-12(14)2/h3-10H,1-2H3,(H,15,16)/p-1
";C14H14O4P;277.236;277.063520;5; ;;;Comptox similarity search to TPP;0.780487776
DTXSID70957173;Bis(2-methylphenyl) hydrogen phosphate;35787-74-7;OHRCKPRYDGSBRN-UHFFFAOYSA-N;Bis(2-methylphenyl) hydrogen phosphate;CC1=CC=CC=C1OP(O)(=O)OC1=CC=CC=C1C;"InChI=1S/C14H15O4P/c1-11-7-3-5-9-13(11)17-19(15,16)18-14-10-6-4-8-12(14)2/h3-10H,1-2H3,(H,15,16)
";C14H15O4P;278.244;278.070796;5; ;;;Comptox similarity search to TPP;0.780487776
DTXSID20813119;Methyl naphthalen-1-yl propyl phosphate;61911-60-2;NSRJUBQBNOZKGU-UHFFFAOYSA-N;Methyl naphthalen-1-yl propyl phosphate;CCCOP(=O)(OC)OC1=CC=CC2=CC=CC=C12;"InChI=1S/C14H17O4P/c1-3-11-17-19(15,16-2)18-14-10-6-8-12-7-4-5-9-13(12)14/h4-10H,3,11H2,1-2H3
";C14H17O4P;280.26;280.086446;5; ;;;Comptox similarity search to TPP;0.780487776
DTXSID70147355;Octyl phenyl hydrogen phosphate;10581-14-3;SDWUQIDETLBAIU-UHFFFAOYSA-N;Octyl phenyl hydrogen phosphate;CCCCCCCCOP(O)(=O)OC1=CC=CC=C1;"InChI=1S/C14H23O4P/c1-2-3-4-5-6-10-13-17-19(15,16)18-14-11-8-7-9-12-14/h7-9,11-12H,2-6,10,13H2,1H3,(H,15,16)
";C14H23O4P;286.308;286.133396;; ;;;Comptox similarity search to TPP;0.780487776
DTXSID30824539;2,6-Dimethylphenyl 2-methylphenyl phosphate;760973-57-7;KBQPSTHXRNKBQA-UHFFFAOYSA-M;2,6-Dimethylphenyl 2-methylphenyl phosphate;CC1=CC=CC=C1OP([O-])(=O)OC1=C(C)C=CC=C1C;"InChI=1S/C15H17O4P/c1-11-7-4-5-10-14(11)18-20(16,17)19-15-12(2)8-6-9-13(15)3/h4-10H,1-3H3,(H,16,17)/p-1
";C15H16O4P;291.263;291.079170;5; ;;;Comptox similarity search to TPP;0.780487776
DTXSID80633855;2-Aminoethyl diphenyl phosphate;65314-76-3;AWYUUFIFCJZDFO-UHFFFAOYSA-N;2-Aminoethyl diphenyl phosphate;NCCOP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1;"InChI=1S/C14H16NO4P/c15-11-12-17-20(16,18-13-7-3-1-4-8-13)19-14-9-5-2-6-10-14/h1-10H,11-12,15H2
";C14H16NO4P;293.259;293.081695;5; ;;;Comptox similarity search to TPP;0.780487776
DTXSID60276047;tert-butyl diphenyl phosphate;22433-83-6;KHLAZQIVJFSQDS-UHFFFAOYSA-N;tert-Butyl diphenyl phosphate;CC(C)(C)OP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1;"InChI=1S/C16H19O4P/c1-16(2,3)20-21(17,18-14-10-6-4-7-11-14)19-15-12-8-5-9-13-15/h4-13H,1-3H3
";C16H19O4P;306.298;306.102096;5; ;;;Comptox similarity search to TPP;0.780487776
DTXSID50452772;Bis(2,6-dimethylphenyl)phosphate;18350-99-7;APOXBWCRUPJDAC-UHFFFAOYSA-N;Bis(2,6-dimethylphenyl) hydrogen phosphate;CC1=CC=CC(C)=C1OP(O)(=O)OC1=C(C)C=CC=C1C;"InChI=1S/C16H19O4P/c1-11-7-5-8-12(2)15(11)19-21(17,18)20-16-13(3)9-6-10-14(16)4/h5-10H,1-4H3,(H,17,18)
";C16H19O4P;306.298;306.102096;5; ;;;Comptox similarity search to TPP;0.780487776
DTXSID80623357;Pentyl diphenyl phosphate;105234-62-6;BVXSDQYDTOKNMQ-UHFFFAOYSA-N;Pentyl diphenyl phosphate;CCCCCOP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1;"InChI=1S/C17H21O4P/c1-2-3-10-15-19-22(18,20-16-11-6-4-7-12-16)21-17-13-8-5-9-14-17/h4-9,11-14H,2-3,10,15H2,1H3
";C17H21O4P;320.325;320.117746;5; ;;;Comptox similarity search to TPP;0.780487776
DTXSID901195695;Phosphoric acid, 2,3-dihydroxypropyl diphenyl ester, (S)-;58530-77-1;QWUKKAJCAVRFFC-ZDUSSCGKSA-N;(2S)-2,3-Dihydroxypropyl diphenyl phosphate;OC[C@H](O)COP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1;"InChI=1S/C15H17O6P/c16-11-13(17)12-19-22(18,20-14-7-3-1-4-8-14)21-15-9-5-2-6-10-15/h1-10,13,16-17H,11-12H2/t13-/m0/s1
";C15H17O6P;324.269;324.076275;; ;;;Comptox similarity search to TPP;0.780487776
DTXSID70200530;Phosphoric acid, 2-methylphenyl diphenyl ester;5254-12-6;XMNDMAQKWSQVOV-UHFFFAOYSA-N;2-Methylphenyl diphenyl phosphate;CC1=CC=CC=C1OP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1;"InChI=1S/C19H17O4P/c1-16-10-8-9-15-19(16)23-24(20,21-17-11-4-2-5-12-17)22-18-13-6-3-7-14-18/h2-15H,1H3
";C19H17O4P;340.315;340.086446;4; ;;;Comptox similarity search to TPP;0.780487776
DTXSID10601981;Dihexyl phenyl phosphate;33898-82-7;DQLJOCWRWFJZMD-UHFFFAOYSA-N;Dihexyl phenyl phosphate;CCCCCCOP(=O)(OCCCCCC)OC1=CC=CC=C1;"InChI=1S/C18H31O4P/c1-3-5-7-12-16-20-23(19,21-17-13-8-6-4-2)22-18-14-10-9-11-15-18/h9-11,14-15H,3-8,12-13,16-17H2,1-2H3
";C18H31O4P;342.416;342.195996;5; ;;;Comptox similarity search to TPP;0.780487776
DTXSID3066922;Diphenyl 2,6-dimethylphenyl phosphate;23666-94-6;YZXCXQOZLZRKHF-UHFFFAOYSA-N;2,6-Dimethylphenyl diphenyl phosphate;CC1=CC=CC(C)=C1OP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1;"InChI=1S/C20H19O4P/c1-16-10-9-11-17(2)20(16)24-25(21,22-18-12-5-3-6-13-18)23-19-14-7-4-8-15-19/h3-15H,1-2H3
";C20H19O4P;354.342;354.102096;; ;;;Comptox similarity search to TPP;0.780487776
DTXSID0072934;Phosphoric acid, 2,4-dimethylphenyl diphenyl ester;86864-87-1;AYGJSQLTGPQJPU-UHFFFAOYSA-N;2,4-Dimethylphenyl diphenyl phosphate;CC1=CC=C(OP(=O)(OC2=CC=CC=C2)OC2=CC=CC=C2)C(C)=C1;"InChI=1S/C20H19O4P/c1-16-13-14-20(17(2)15-16)24-25(21,22-18-9-5-3-6-10-18)23-19-11-7-4-8-12-19/h3-15H,1-2H3
";C20H19O4P;354.342;354.102096;; ;;;Comptox similarity search to TPP;0.780487776
DTXSID8074287;Octyl diphenyl phosphate;115-88-8;YAFOVCNAQTZDQB-UHFFFAOYSA-N;Octyl diphenyl phosphate;CCCCCCCCOP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1;"InChI=1S/C20H27O4P/c1-2-3-4-5-6-13-18-22-25(21,23-19-14-9-7-10-15-19)24-20-16-11-8-12-17-20/h7-12,14-17H,2-6,13,18H2,1H3
";C20H27O4P;362.406;362.164696;; ;;;Comptox similarity search to TPP;0.780487776
DTXSID5072721;Diphenyl 2,4,6-trimethylphenyl phosphate;73179-43-8;TZNDMQPVWYWNFW-UHFFFAOYSA-N;Diphenyl 2,4,6-trimethylphenyl phosphate;CC1=CC(C)=C(OP(=O)(OC2=CC=CC=C2)OC2=CC=CC=C2)C(C)=C1;"InChI=1S/C21H21O4P/c1-16-14-17(2)21(18(3)15-16)25-26(22,23-19-10-6-4-7-11-19)24-20-12-8-5-9-13-20/h4-15H,1-3H3
";C21H21O4P;368.369;368.117746;; ;;;Comptox similarity search to TPP;0.780487776
DTXSID20539100;Nonyl diphenyl phosphate;96663-10-4;BKENCPVCULYKSA-UHFFFAOYSA-N;Nonyl diphenyl phosphate;CCCCCCCCCOP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1;"InChI=1S/C21H29O4P/c1-2-3-4-5-6-7-14-19-23-26(22,24-20-15-10-8-11-16-20)25-21-17-12-9-13-18-21/h8-13,15-18H,2-7,14,19H2,1H3
";C21H29O4P;376.433;376.180346;5; ;;;Comptox similarity search to TPP;0.780487776
DTXSID30888676;Phosphoric acid, 2,4-dimethylphenyl 2,6-dimethylphenyl phenyl ester;86864-89-3;CMMLWWDEAQPEPF-UHFFFAOYSA-N;2,4-Dimethylphenyl 2,6-dimethylphenyl phenyl phosphate;CC1=CC=C(OP(=O)(OC2=CC=CC=C2)OC2=C(C)C=CC=C2C)C(C)=C1;"InChI=1/C22H23O4P/c1-16-13-14-21(19(4)15-16)25-27(23,24-20-11-6-5-7-12-20)26-22-17(2)9-8-10-18(22)3/h5-15H,1-4H3
";C22H23O4P;382.396;382.133396;; ;;;Comptox similarity search to TPP;0.780487776
DTXSID8066921;Bis(2,6-dimethylphenyl) phenyl phosphate;23666-93-5;NRHMSJGIJYQISI-UHFFFAOYSA-N;Bis(2,6-dimethylphenyl) phenyl phosphate;CC1=CC=CC(C)=C1OP(=O)(OC1=CC=CC=C1)OC1=C(C)C=CC=C1C;"InChI=1S/C22H23O4P/c1-16-10-8-11-17(2)21(16)25-27(23,24-20-14-6-5-7-15-20)26-22-18(3)12-9-13-19(22)4/h5-15H,1-4H3
";C22H23O4P;382.396;382.133396;; ;;;Comptox similarity search to TPP;0.780487776
DTXSID5072935;Phosphoric acid, bis(2,4-dimethylphenyl) phenyl ester;86864-88-2;LHDWQHHGFDELQM-UHFFFAOYSA-N;Bis(2,4-dimethylphenyl) phenyl phosphate;CC1=CC=C(OP(=O)(OC2=CC=CC=C2)OC2=CC=C(C)C=C2C)C(C)=C1;"InChI=1S/C22H23O4P/c1-16-10-12-21(18(3)14-16)25-27(23,24-20-8-6-5-7-9-20)26-22-13-11-17(2)15-19(22)4/h5-15H,1-4H3
";C22H23O4P;382.396;382.133396;; ;;;Comptox similarity search to TPP;0.780487776
DTXSID60290344;4-ethylphenyl bis(4-methylphenyl) phosphate;43132-96-3;YGSPPXVZKKKOBV-UHFFFAOYSA-N;4-Ethylphenyl bis(4-methylphenyl) phosphate;CCC1=CC=C(OP(=O)(OC2=CC=C(C)C=C2)OC2=CC=C(C)C=C2)C=C1;"InChI=1S/C22H23O4P/c1-4-19-9-15-22(16-10-19)26-27(23,24-20-11-5-17(2)6-12-20)25-21-13-7-18(3)8-14-21/h5-16H,4H2,1-3H3
";C22H23O4P;382.396;382.133396;; ;;;Comptox similarity search to TPP;0.780487776
DTXSID6074259;Decyl diphenyl phosphate;14167-87-4;UZJUEEROTUVKNS-UHFFFAOYSA-N;Decyl diphenyl phosphate;CCCCCCCCCCOP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1;"InChI=1S/C22H31O4P/c1-2-3-4-5-6-7-8-15-20-24-27(23,25-21-16-11-9-12-17-21)26-22-18-13-10-14-19-22/h9-14,16-19H,2-8,15,20H2,1H3
";C22H31O4P;390.46;390.195996;; ;;;Comptox similarity search to TPP;0.780487776
DTXSID10888376;Phosphoric acid, 2,6-dimethylphenyl phenyl 2,4,6-trimethylphenyl ester;73179-41-6;SBWHQCISDRTDRW-UHFFFAOYSA-N;2,6-Dimethylphenyl phenyl 2,4,6-trimethylphenyl phosphate;CC1=CC(C)=C(OP(=O)(OC2=CC=CC=C2)OC2=C(C)C=CC=C2C)C(C)=C1;"InChI=1/C23H25O4P/c1-16-14-19(4)23(20(5)15-16)27-28(24,25-21-12-7-6-8-13-21)26-22-17(2)10-9-11-18(22)3/h6-15H,1-5H3
";C23H25O4P;396.423;396.149046;; ;;;Comptox similarity search to TPP;0.780487776
DTXSID90888677;Phosphoric acid, 2,4-dimethylphenyl phenyl 2,4,6-trimethylphenyl ester;86864-90-6;ROFWBXMFJOTAQZ-UHFFFAOYSA-N;2,4-Dimethylphenyl phenyl 2,4,6-trimethylphenyl phosphate;CC1=CC=C(OP(=O)(OC2=CC=CC=C2)OC2=C(C)C=C(C)C=C2C)C(C)=C1;"InChI=1/C23H25O4P/c1-16-11-12-22(18(3)13-16)26-28(24,25-21-9-7-6-8-10-21)27-23-19(4)14-17(2)15-20(23)5/h6-15H,1-5H3
";C23H25O4P;396.423;396.149046;; ;;;Comptox similarity search to TPP;0.780487776
DTXSID40736593;Bis(2,6-dimethylphenyl) 4-hydroxyphenyl phosphate;169224-30-0;VHTLIAACILPQPC-UHFFFAOYSA-N;Bis(2,6-dimethylphenyl) 4-hydroxyphenyl phosphate;CC1=CC=CC(C)=C1OP(=O)(OC1=CC=C(O)C=C1)OC1=C(C)C=CC=C1C;"InChI=1S/C22H23O5P/c1-15-7-5-8-16(2)21(15)26-28(24,25-20-13-11-19(23)12-14-20)27-22-17(3)9-6-10-18(22)4/h5-14,23H,1-4H3
";C22H23O5P;398.395;398.128311;5; ;;;Comptox similarity search to TPP;0.780487776
DTXSID20210629;Dioctyl phenyl phosphate;6161-81-5;QHGRPTNUHWYCEN-UHFFFAOYSA-N;Dioctyl phenyl phosphate;CCCCCCCCOP(=O)(OCCCCCCCC)OC1=CC=CC=C1;"InChI=1S/C22H39O4P/c1-3-5-7-9-11-16-20-24-27(23,26-22-18-14-13-15-19-22)25-21-17-12-10-8-6-4-2/h13-15,18-19H,3-12,16-17,20-21H2,1-2H3
";C22H39O4P;398.524;398.258597;; ;;;Comptox similarity search to TPP;0.780487776
DTXSID0072936;Phosphoric acid, bis(2,4-dimethylphenyl) 2,6-dimethylphenyl ester;86864-91-7;SFRAAVNRABYQOP-UHFFFAOYSA-N;Bis(2,4-dimethylphenyl) 2,6-dimethylphenyl phosphate;CC1=CC=C(OP(=O)(OC2=CC=C(C)C=C2C)OC2=C(C)C=CC=C2C)C(C)=C1;"InChI=1S/C24H27O4P/c1-16-10-12-22(20(5)14-16)26-29(25,27-23-13-11-17(2)15-21(23)6)28-24-18(3)8-7-9-19(24)4/h7-15H,1-6H3
";C24H27O4P;410.45;410.164696;; ;;;Comptox similarity search to TPP;0.780487776
DTXSID80959466;Tris(2,4-dimethylphenyl) phosphate;3862-12-2;KOWVWXQNQNCRRS-UHFFFAOYSA-N;Tris(2,4-dimethylphenyl) phosphate;CC1=CC(C)=C(OP(=O)(OC2=C(C)C=C(C)C=C2)OC2=C(C)C=C(C)C=C2)C=C1;"InChI=1S/C24H27O4P/c1-16-7-10-22(19(4)13-16)26-29(25,27-23-11-8-17(2)14-20(23)5)28-24-12-9-18(3)15-21(24)6/h7-15H,1-6H3
";C24H27O4P;410.45;410.164696;1; ;;;Comptox similarity search to TPP;0.780487776
DTXSID60191584;Tris(4-ethylphenyl) phosphate;3820-69-7;BMPBPTNLNBRGOT-UHFFFAOYSA-N;Tris(4-ethylphenyl) phosphate;CCC1=CC=C(OP(=O)(OC2=CC=C(CC)C=C2)OC2=CC=C(CC)C=C2)C=C1;"InChI=1S/C24H27O4P/c1-4-19-7-13-22(14-8-19)26-29(25,27-23-15-9-20(5-2)10-16-23)28-24-17-11-21(6-3)12-18-24/h7-18H,4-6H2,1-3H3
";C24H27O4P;410.45;410.164696;; ;;;Comptox similarity search to TPP;0.780487776
DTXSID70891326;Tris(2,6-dimethylphenyl) phosphate;121-06-2;QLORRTLBSJTMSN-UHFFFAOYSA-N;Tris(2,6-dimethylphenyl) phosphate;CC1=CC=CC(C)=C1OP(=O)(OC1=C(C)C=CC=C1C)OC1=C(C)C=CC=C1C;"InChI=1S/C24H27O4P/c1-16-10-7-11-17(2)22(16)26-29(25,27-23-18(3)12-8-13-19(23)4)28-24-20(5)14-9-15-21(24)6/h7-15H,1-6H3
";C24H27O4P;410.45;410.164696;1; ;;;Comptox similarity search to TPP;0.780487776
DTXSID5072937;Phosphoric acid, 2,4-dimethylphenyl bis(2,6-dimethylphenyl) ester;86864-92-8;HXJLUDOGBZZEFW-UHFFFAOYSA-N;2,4-Dimethylphenyl bis(2,6-dimethylphenyl) phosphate;CC1=CC=C(OP(=O)(OC2=C(C)C=CC=C2C)OC2=C(C)C=CC=C2C)C(C)=C1;"InChI=1S/C24H27O4P/c1-16-13-14-22(21(6)15-16)26-29(25,27-23-17(2)9-7-10-18(23)3)28-24-19(4)11-8-12-20(24)5/h7-15H,1-6H3
";C24H27O4P;410.45;410.164696;; ;;;Comptox similarity search to TPP;0.780487776
DTXSID3067314;Phosphoric acid, dodecyl diphenyl ester;27460-02-2;DLZXXNAEQGRWPX-UHFFFAOYSA-N;Dodecyl diphenyl phosphate;CCCCCCCCCCCCOP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1;"InChI=1S/C24H35O4P/c1-2-3-4-5-6-7-8-9-10-17-22-26-29(25,27-23-18-13-11-14-19-23)28-24-20-15-12-16-21-24/h11-16,18-21H,2-10,17,22H2,1H3
";C24H35O4P;418.514;418.227297;; ;;;Comptox similarity search to TPP;0.780487776
DTXSID901276576;4-Methylphenyl propyl hydrogen phosphate;46438-18-0;CVDMQUGNVPSOIO-UHFFFAOYNA-N;4-Methylphenyl propyl hydrogen phosphate;CCCOP(O)(=O)OC1=CC=C(C)C=C1;"InChI=1/C10H15O4P/c1-3-8-13-15(11,12)14-10-6-4-9(2)5-7-10/h4-7H,3,8H2,1-2H3,(H,11,12)
";C10H15O4P;230.2;230.070796;; ;;;Comptox similarity search to TPP;0.761904776
DTXSID20161728;Phosphoric acid, diethyl 3-methylphenyl ester;14143-01-2;GCSDSLXAMQEUKU-UHFFFAOYSA-N;Diethyl 3-methylphenyl phosphate;CCOP(=O)(OCC)OC1=CC=CC(C)=C1;"InChI=1S/C11H17O4P/c1-4-13-16(12,14-5-2)15-11-8-6-7-10(3)9-11/h6-9H,4-5H2,1-3H3
";C11H17O4P;244.227;244.086446;4; ;;;Comptox similarity search to TPP;0.761904776
DTXSID10226431;Phosphoric acid, 3,4-dichlorophenyl dimethyl ester;75489-41-7;SZNNHHDICIJCMS-UHFFFAOYSA-N;3,4-Dichlorophenyl dimethyl phosphate;COP(=O)(OC)OC1=CC(Cl)=C(Cl)C=C1;"InChI=1S/C8H9Cl2O4P/c1-12-15(11,13-2)14-6-3-4-7(9)8(10)5-6/h3-5H,1-2H3
";C8H9Cl2O4P;271.03;269.961551;4; ;;;Comptox similarity search to TPP;0.761904776
DTXSID00200720;Tris(3-ethylphenyl)phosphate;52736-14-8;QZWWNNQRBSJVLL-UHFFFAOYSA-N;Tris(3-ethylphenyl) phosphate;CCC1=CC(OP(=O)(OC2=CC=CC(CC)=C2)OC2=CC=CC(CC)=C2)=CC=C1;"InChI=1S/C24H27O4P/c1-4-19-10-7-13-22(16-19)26-29(25,27-23-14-8-11-20(5-2)17-23)28-24-15-9-12-21(6-3)18-24/h7-18H,4-6H2,1-3H3
";C24H27O4P;410.45;410.164696;1; ;;;Comptox similarity search to TPP;0.761904776
DTXSID50335576;Diethyl 4-bromophenyl phosphate;16498-01-4;VFNLVHJJCJDLRL-UHFFFAOYSA-N;4-Bromophenyl diethyl phosphate;CCOP(=O)(OCC)OC1=CC=C(Br)C=C1;"InChI=1S/C10H14BrO4P/c1-3-13-16(12,14-4-2)15-10-7-5-9(11)6-8-10/h5-8H,3-4H2,1-2H3
";C10H14BrO4P;309.096;307.981309;5; ;;;Comptox similarity search to TPP;0.744186044
DTXSID20813114;Butyl ethyl naphthalen-1-yl phosphate;61911-65-7;RSUFTHREZZDQAP-UHFFFAOYSA-N;Butyl ethyl naphthalen-1-yl phosphate;CCCCOP(=O)(OCC)OC1=CC=CC2=CC=CC=C12;"InChI=1S/C16H21O4P/c1-3-5-13-19-21(17,18-4-2)20-16-12-8-10-14-9-6-7-11-15(14)16/h6-12H,3-5,13H2,1-2H3
";C16H21O4P;308.314;308.117746;5; ;;;Comptox similarity search to TPP;0.744186044
DTXSID7067455;Phosphoric acid, isooctyl diphenyl ester;29319-57-1;RCRYBQKHEDNBDN-UHFFFAOYSA-N;6-Methylheptyl diphenyl phosphate;CC(C)CCCCCOP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1;"InChI=1S/C20H27O4P/c1-18(2)12-6-5-11-17-22-25(21,23-19-13-7-3-8-14-19)24-20-15-9-4-10-16-20/h3-4,7-10,13-16,18H,5-6,11-12,17H2,1-2H3
";C20H27O4P;362.406;362.164696;3; ;;;Comptox similarity search to TPP;0.744186044
DTXSID20164411;Phosphoric acid, p-aminophenyl diethyl ester;14984-58-8;BIZDCQFJAWUTAF-UHFFFAOYSA-N;4-Aminophenyl diethyl phosphate;CCOP(=O)(OCC)OC1=CC=C(N)C=C1;"InChI=1S/C10H16NO4P/c1-3-13-16(12,14-4-2)15-10-7-5-9(11)6-8-10/h5-8H,3-4,11H2,1-2H3
";C10H16NO4P;245.215;245.081695;4; ;;;Comptox similarity search to TPP;0.727272749
DTXSID90208412;Diethyl o-tolyl phosphate;597-87-5;PEWMGFMJPSOUIN-UHFFFAOYSA-N;Diethyl 2-methylphenyl phosphate;CCOP(=O)(OCC)OC1=CC=CC=C1C;"InChI=1S/C11H17O4P/c1-4-13-16(12,14-5-2)15-11-9-7-6-8-10(11)3/h6-9H,4-5H2,1-3H3
";C11H17O4P;244.227;244.086446;4; ;;;Comptox similarity search to TPP;0.711111128
DTXSID20706971;2-Butoxyethyl diphenyl phosphate;7332-51-6;GANMEIBMNORMAX-UHFFFAOYSA-N;2-Butoxyethyl diphenyl phosphate;CCCCOCCOP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1;"InChI=1S/C18H23O5P/c1-2-3-14-20-15-16-21-24(19,22-17-10-6-4-7-11-17)23-18-12-8-5-9-13-18/h4-13H,2-3,14-16H2,1H3
";C18H23O5P;350.351;350.128311;5; ;;;Comptox similarity search to TPP;0.711111128
DTXSID50795631;Dihexyl 4-methylphenyl phosphate;63389-78-6;RDAZMHGPBSBMKU-UHFFFAOYSA-N;Dihexyl 4-methylphenyl phosphate;CCCCCCOP(=O)(OCCCCCC)OC1=CC=C(C)C=C1;"InChI=1S/C19H33O4P/c1-4-6-8-10-16-21-24(20,22-17-11-9-7-5-2)23-19-14-12-18(3)13-15-19/h12-15H,4-11,16-17H2,1-3H3
";C19H33O4P;356.443;356.211647;5; ;;;Comptox similarity search to TPP;0.711111128
DTXSID00944475;(2,2-Dimethylpropoxy)(oxo)phenoxyphosphanium;21879-32-3;BYLAGCHNHPTSRT-UHFFFAOYSA-N;(2,2-Dimethylpropoxy)(oxo)phenoxyphosphanium;CC(C)(C)CO[P+](=O)OC1=CC=CC=C1;"InChI=1/C11H16O3P/c1-11(2,3)9-13-15(12)14-10-7-5-4-6-8-10/h4-8H,9H2,1-3H3/q+1
";C11H16O3P;227.219;227.083158;5; ;;;Comptox similarity search to TPP;0.707317054
DTXSID60739561;Bis(3,4-dichlorophenoxy)(oxo)phosphanium;65463-65-2;XIPAJFQKRINIFR-UHFFFAOYSA-N;Bis(3,4-dichlorophenoxy)(oxo)phosphanium;ClC1=C(Cl)C=C(O[P+](=O)OC2=CC(Cl)=C(Cl)C=C2)C=C1;"InChI=1S/C12H6Cl4O3P/c13-9-3-1-7(5-11(9)15)18-20(17)19-8-2-4-10(14)12(16)6-8/h1-6H/q+1
";C12H6Cl4O3P;370.95;368.880318;5; ;;;Comptox similarity search to TPP;0.690476179
DTXSID10788948;Bis(1,3-dichloropropan-2-yl) phenyl phosphate;52725-03-8;TZDIXLVOZCTMPQ-UHFFFAOYSA-N;Bis(1,3-dichloropropan-2-yl) phenyl phosphate;ClCC(CCl)OP(=O)(OC(CCl)CCl)OC1=CC=CC=C1;"InChI=1S/C12H15Cl4O4P/c13-6-11(7-14)19-21(17,20-12(8-15)9-16)18-10-4-2-1-3-5-10/h1-5,11-12H,6-9H2
";C12H15Cl4O4P;396.02;393.946207;5; ;;;Comptox similarity search to TPP;0.680851042
